time_s,manifest_id,active_power_W_DG1,active_power_W_DG2,active_power_W_DG3,active_power_W_DG4,normalized_power_DG1,normalized_power_DG2,normalized_power_DG3,normalized_power_DG4,sharing_error
10.895,f27c2278f5bdb77b,256.43873112725,303.294366607418,322.122728822241,343.144173443091,0.5128774622545,0.505490611012363,0.495573428957295,0.490205962061558,0.0226715001929415
10.9,f27c2278f5bdb77b,256.438721823368,303.294509482515,322.122582118341,343.144186575777,0.512877443646736,0.505490849137525,0.495573203258985,0.490205980822538,0.0226714628241986
10.905,f27c2278f5bdb77b,256.438712269073,303.294652980614,322.122434940874,343.144199809439,0.512877424538146,0.505491088301023,0.495572976832114,0.49020599972777,0.0226714248103755
10.91,f27c2278f5bdb77b,256.438702466551,303.294797102082,322.12228728945,343.144213141918,0.512877404933101,0.50549132850347,0.495572749676076,0.490206018774168,0.0226713861589329
10.915,f27c2278f5bdb77b,256.438692418269,303.29494184742,322.122139163552,343.144226570759,0.512877384836538,0.5054915697457,0.495572521790081,0.490206037958226,0.0226713468783114
10.92,f27c2278f5bdb77b,256.438682126919,303.295087217235,322.121990562574,343.144240093272,0.512877364253838,0.505491812028725,0.49557229317319,0.490206057276103,0.0226713069777352
10.925,f27c2278f5bdb77b,256.438671595354,303.295233212208,322.121841485837,343.144253706601,0.512877343190709,0.50549205535368,0.495572063824364,0.490206076723715,0.0226712664669936
10.93,f27c2278f5bdb77b,256.438660826525,303.295379833059,322.121691932628,343.144267407788,0.51287732165305,0.505492299721764,0.495571833742505,0.49020609629684,0.0226712253562097
10.935,f27c2278f5bdb77b,256.438649823407,303.295527080513,322.121541902228,343.144281193852,0.512877299646815,0.505492545134188,0.495571602926505,0.490206115991217,0.0226711836555981
10.94,f27c2278f5bdb77b,256.438638588937,303.295674955264,322.121391393942,343.144295061857,0.512877277177873,0.505492791592107,0.495571371375296,0.490206135802653,0.0226711413752199
10.945,f27c2278f5bdb77b,256.438627125936,303.295823457941,322.121240407131,343.144309008992,0.512877254251871,0.505493039096568,0.495571139087895,0.490206155727131,0.0226710985247403
10.95,f27c2278f5bdb77b,256.43861543705,303.295972589073,322.121088941244,343.144323032633,0.512877230874101,0.505493287648455,0.495570906063452,0.490206175760904,0.0226710551131967
10.955,f27c2278f5bdb77b,256.438603524687,303.296122349058,322.12093699584,343.144337130415,0.512877207049374,0.505493537248429,0.495570672301293,0.490206195900593,0.0226710111487811
10.96,f27c2278f5bdb77b,256.438591390955,303.296272738135,322.120784570621,343.144351300288,0.512877182781911,0.505493787896892,0.495570437800956,0.490206216143268,0.0226709666386427
10.965,f27c2278f5bdb77b,256.438579037622,303.296423756363,322.120631665447,343.144365540568,0.512877158075244,0.505494039593939,0.495570202562226,0.490206236486525,0.0226709215887181
